Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/5/2017 3:00,0.548,0.97,2.814,3.331,150.48,29.85
1/5/2017 3:30,0.569,1.04,2.926,3.416,136.48,29.8
1/5/2017 4:00,0.623,1,3.018,3.306,130.48,29.8
1/5/2017 4:30,0.658,1.22,3.085,3.528,136.48,29.75
1/5/2017 5:00,0.649,1.18,3.035,3.531,140.48,29.8
1/5/2017 5:30,0.579,1.1,2.972,3.33,140.48,29.8
1/5/2017 6:00,0.587,1.14,2.97,3.14,139.48,29.8
1/5/2017 6:30,0.611,1.03,2.931,3.415,142.48,29.8
1/5/2017 7:00,0.598,0.94,2.92,3.247,130.48,29.8
1/5/2017 7:30,0.631,1.12,3.095,3.817,135.48,29.75
1/5/2017 8:00,0.626,1.19,3.082,3.003,109.48,29.75
1/5/2017 8:30,0.647,1.18,3.018,3.207,104.48,29.75
1/5/2017 9:00,0.642,1.16,3.126,3.481,132.48,29.75
1/5/2017 9:30,0.592,1.06,3.289,4.481,142.48,29.75
1/5/2017 10:00,0.608,1.1,3.316,4.594,127.48,29.75
1/5/2017 10:30,0.569,0.94,3.245,4.781,101.48,29.8
1/5/2017 11:00,0.533,0.83,3.318,4.567,105.48,29.8
1/5/2017 11:30,0.565,0.98,3.482,4.633,101.48,29.85
1/5/2017 12:00,0.559,0.98,3.572,4.628,97.48,30
1/5/2017 12:30,0.529,1.09,3.759,4.94,98.48,30.05
1/5/2017 13:00,0.53,0.8,3.666,5.378,97.48,30.2
1/5/2017 13:30,0.566,1.16,3.707,5.295,98.48,30.35
1/5/2017 14:00,0.528,0.82,3.445,5.194,101.48,30.2
1/5/2017 14:30,0.547,0.91,3.398,4.9,99.48,30.1
1/5/2017 15:00,0.547,0.92,3.25,4.841,97.48,30.05
1/5/2017 15:30,0.546,0.86,3.329,4.976,94.48,30.1
1/5/2017 16:00,0.54,0.88,3.394,4.933,95.48,30.05
1/5/2017 16:30,0.499,0.81,3.426,5.17,97.48,30.05
1/5/2017 17:00,0.475,0.77,3.315,4.733,91.48,30.05
1/5/2017 17:30,0.489,0.8,3.334,5.069,94.48,30.05
1/5/2017 18:00,0.476,0.73,3.24,4.617,85.48,30.05
1/5/2017 18:30,0.451,0.74,3.209,3.145,90.48,30
1/5/2017 19:00,0.426,0.78,3.083,4.311,91.48,29.95
1/5/2017 19:30,0.437,0.69,3.125,2.95,94.48,29.9
1/5/2017 20:00,0.405,0.83,3.163,3.021,75.48,29.85
1/5/2017 20:30,0.378,0.64,3.013,3.006,71.48,29.85
1/5/2017 21:00,0.371,0.61,3.04,3.02,60.48,29.85
1/5/2017 21:30,0.371,0.57,3.028,3.008,66.48,29.85
1/5/2017 22:00,0.379,0.7,2.884,3.15,47.48,29.85
1/5/2017 22:30,0.386,0.67,3,3.242,56.48,29.85
1/5/2017 23:00,0.398,0.87,3.036,3.15,54.48,29.85
1/5/2017 23:30,0.333,0.64,2.926,3.194,42.48,29.8
1/6/2017 0:00,0.343,0.7,2.963,3.16,37.48,29.8
1/6/2017 0:30,0.313,0.5,2.94,3.255,47.48,29.8
1/6/2017 1:00,0.29,0.59,2.974,2.584,39.48,29.8
1/6/2017 1:30,0.278,0.52,2.864,2.828,42.48,29.75
1/6/2017 2:00,0.286,0.59,2.744,2.708,46.48,29.75
1/6/2017 2:30,0.428,0.74,2.637,2.841,47.48,29.75
1/6/2017 3:00,0.57,0.98,2.791,3.287,157.48,29.7
1/6/2017 3:30,0.555,1.09,2.915,3.139,158.48,29.7
1/6/2017 4:00,0.586,1.11,2.948,3.471,127.48,29.7
1/6/2017 4:30,0.631,1.37,2.985,3.415,129.48,29.7
1/6/2017 5:00,0.597,1.08,2.923,3.48,140.48,29.7
1/6/2017 5:30,0.622,1.16,2.994,3.424,132.48,29.7
1/6/2017 6:00,0.635,1.31,2.961,3.201,122.48,29.7
1/6/2017 6:30,0.582,1.16,3.02,3.59,130.48,29.65
1/6/2017 7:00,0.663,1.21,3.111,3.677,125.48,29.65
1/6/2017 7:30,0.609,1,3.062,3.676,144.48,29.65
1/6/2017 8:00,0.607,1.12,2.944,3.598,140.48,29.65
1/6/2017 8:30,0.66,1.28,2.991,3.578,122.48,29.65
1/6/2017 9:00,0.675,1.31,3.014,3.41,130.48,29.65
1/6/2017 9:30,0.746,1.25,3.153,3.594,136.48,29.65
1/6/2017 10:00,0.819,1.47,3.258,3.595,130.48,29.7
1/6/2017 10:30,0.836,1.44,3.227,3.735,127.48,29.7
1/6/2017 11:00,0.795,1.55,3.235,3.545,125.48,29.7
1/6/2017 11:30,0.77,1.23,3.23,3.872,119.48,29.7
1/6/2017 12:00,0.767,1.27,3.246,3.877,119.48,29.65
1/6/2017 12:30,0.809,1.33,3.403,4.401,122.48,29.7
1/6/2017 13:00,0.847,1.61,3.387,4.12,105.48,29.7
1/6/2017 13:30,0.868,1.44,3.453,4.036,105.48,29.7
1/6/2017 14:00,0.908,1.53,3.466,4.808,105.48,29.7
